image_name,rust_ratio,cr_thr,tex_thr,iou,dice,precision,recall
004.png,0.582122802734375,131.0,24.560768127441406,0.10814179976626412,0.1951768262673135,0.227391874180865,0.1709570144106417
006.png,0.25844573974609375,128.0,13.953666687011719,0.23529928803726818,0.3809591575352213,0.9878228782287823,0.23598377997179126
009.png,5.275058746337891,132.0,27.50891876220703,0.20232562280748614,0.33655711725588355,0.6162384972791206,0.2314933036320665
012.png,0.5502700805664062,129.0,22.641114807128908,0.3069944086929001,0.46977157155541205,0.5043327556325823,0.439643450672307
014.png,7.120704650878906,133.0,33.03643798828125,0.47447292467075713,0.64358309567021,0.9973615835855677,0.4750692167345012
026.png,0.1857757568359375,132.0,13.700535583496094,0.19716428644816603,0.3293855132166152,0.9851129363449692,0.19775350370981037
038.png,1.8449783325195312,133.0,32.43926086425781,0.30522273868984034,0.4676944856112721,0.5464695544298563,0.408769284305765
040.png,2.05535888671875,132.0,27.632362365722656,0.4967053158461636,0.6637316118107737,0.727496288047513,0.6102440353403651
041.png,0.9700775146484375,124.0,16.69001159667969,0.4544340200839187,0.6248946515397082,0.9476012583562721,0.46614759647935006
044.png,0.3371238708496094,131.0,24.89107666015625,0.38925714285714286,0.5603817045080619,0.9635077793493635,0.395081777056026
046.png,9.797286987304688,136.0,34.15943145751953,0.5634196424649712,0.720752927955611,0.9989000506171397,0.5637694137554046
048.png,3.384685516357422,134.0,23.780755615234376,0.4355913791022357,0.6068459109508417,0.9151334141049844,0.4539279674637671
051.png,2.811717987060547,131.0,26.1234619140625,0.5205985915492958,0.6847284936899386,0.8023606824271614,0.5971776941913008
056.png,0.043487548828125,132.0,9.72972869873047,0.21570482497634816,0.354863813229572,0.5,0.2750301568154403
066.png,3.172779083251953,129.0,26.010963439941406,0.4387248428503513,0.609880124098177,0.9985872734377348,0.43899731754694293
067.png,12.145423889160156,132.0,32.76592712402344,0.6587649085608269,0.794283632552105,0.9758311478241751,0.6696915482939236
077.png,0.09813308715820312,132.0,14.455720520019531,0.5266418835192069,0.689935064935065,0.826044703595724,0.5923344947735192
078.png,0.43125152587890625,130.0,21.549087524414062,0.20194479913564484,0.3360300727302443,0.45466607695709865,0.2664938431626701
080.png,0.6120681762695312,132.0,18.993438720703125,0.5043978349120433,0.6705644254553632,0.9292614521657837,0.5245382585751979
086.png,1.7099380493164062,129.0,23.269987487792967,0.2057466779886627,0.3412767901328562,1.0,0.2057466779886627
088.png,1.4980316162109375,134.0,20.626731872558594,0.25310236220472443,0.4039611923792289,0.5115864527629234,0.33374865022011796
096.png,5.19561767578125,129.0,28.733734130859375,0.6537089274443886,0.7905973253160318,0.9315712187958884,0.6866822714419083
097.png,4.790401458740234,129.0,21.08013610839844,0.585106656717186,0.738255251452875,0.9053771575322013,0.6232168062159977
099.png,1.9298553466796875,134.0,23.31741638183594,0.2317243761333218,0.37626011244619545,0.6630757066613955,0.2626499892340517
105.png,1.1240959167480469,133.0,28.05213165283203,0.4452245023916062,0.61613195964341,0.9792143887333503,0.44947233147708243
116.png,4.20989990234375,135.0,19.52476806640625,0.212412145711792,0.35039593831697796,0.9427328742297933,0.21518876071005671
119.png,0.060558319091796875,129.0,25.206771850585938,0.6639908256880734,0.7980702963473466,0.9118110236220472,0.7095588235294118
120.png,0.6096839904785156,135.0,24.3317138671875,0.1062887028528883,0.19215364412344058,0.9155326137963398,0.10734131714563427
122.png,0.24738311767578125,129.0,12.11363677978516,0.4848999622499056,0.653107919155968,0.9903623747108713,0.48719893798596625
130.png,1.29547119140625,132.0,25.754054260253906,0.05360889634913974,0.10176242158717515,0.11285335689045936,0.09265639165911152
140.png,0.5879402160644531,129.0,18.797744750976562,0.3382194804459788,0.5054768449989427,0.9693430656934306,0.34187643020594966
143.png,4.3376922607421875,127.0,20.553202819824225,0.25969522199572415,0.41231437170062657,0.4593483422742063,0.37401765095504913
