image_name,rust_ratio,degradation_score,iou,dice,precision,recall
004.png,0.8592605590820312,0.8592605590820312,0.320968612632066,0.48595948391616556,0.46193118756936735,0.5126247074762902
006.png,0.3746986389160156,0.3746986389160156,0.34008949723611476,0.5075623649577686,0.9865105624840926,0.3416784203102962
009.png,7.909870147705078,7.909870147705078,0.25369679474959833,0.40471794426222385,0.5616040317816279,0.3163456575480155
012.png,0.9285926818847656,0.9285926818847656,0.3520707613457882,0.520787478601125,0.43740371777754955,0.643450672306995
014.png,10.105705261230469,10.105705261230469,0.6489979349865994,0.7871422046285018,0.975775248664666,0.6596259106625668
026.png,0.23622512817382812,0.23622512817382812,0.2492052097220798,0.39898202118052706,0.9810254339927331,0.25041220115416324
038.png,3.281879425048828,3.281879425048828,0.3836512636870739,0.5545490742584113,0.48565948914654344,0.6462127363414917
040.png,3.1179428100585938,3.1179428100585938,0.5984176522120017,0.7487625670097796,0.6685936257417263,0.8507764760829798
041.png,1.3905525207519531,1.3905525207519531,0.590177242592342,0.7422785671743385,0.8974693093752143,0.6328465035303221
044.png,0.4202842712402344,0.4202842712402344,0.47642792384406163,0.6453791832975131,0.9539369185386884,0.4876464447279898
046.png,13.172054290771484,13.172054290771484,0.7509598661109835,0.8577693648443503,0.9940992911909295,0.7543222559786401
048.png,4.836750030517578,4.836750030517578,0.5674781739163879,0.7240651683187751,0.8727842735177553,0.6186496345264217
051.png,4.18243408203125,4.18243408203125,0.5426084385222422,0.7034947106111251,0.6694636993797884,0.7411708277585641
056.png,0.11358261108398438,0.11358261108398438,0.4776883686905633,0.6465346534653466,0.5482787573467675,0.7876960193003619
066.png,4.280662536621094,4.280662536621094,0.5798901862116864,0.7340892313562204,0.9858753286102571,0.5847483383326506
067.png,15.67850112915039,15.67850112915039,0.8163808673628267,0.8989093444351421,0.9567885840110462,0.847633263638911
077.png,0.14581680297851562,0.14581680297851562,0.6850483229107447,0.8130904183535762,0.7880967952910399,0.8397212543554007
